epoch,train_total_loss,train_recon_loss,train_kl_loss,val_total_loss,val_recon_loss,val_kl_loss
1,979.7503134769464,836.005789990695,143.74452375016122,631.7850001408503,477.6340075761844,154.15099315154248
2,598.7380863405624,444.5428108119365,154.19527549263816,569.5970494196965,414.1116692958734,155.48537953694662
3,557.001707736801,401.80070665947295,155.20100009366402,541.4904012435521,386.2134849352714,155.27691728640826
4,534.1137080402494,378.4253727654991,155.68833449501662,517.1524847959861,363.11412517841046,154.03836040007764
5,518.6984020688999,363.5021250023032,155.19627605894075,510.9423581636869,356.9422787397336,154.00007922832782
6,508.87615131882,354.7323799853055,154.14377186133427,499.9856148744241,346.7468527769431,153.23876248873196
7,502.322886341023,349.11469539906244,153.20819060607525,505.4324524708283,353.2099053798578,152.2225473844088
8,497.0232629356144,344.60839848548363,152.41486409025373,493.4904636480869,341.17450753236426,152.3159558222844
9,492.3040782520606,340.5267699619509,151.77730778628177,488.5020988659981,338.2799508510492,150.22214889526367
10,488.7671853551325,337.53585873010024,151.2313261931797,484.36964729504706,333.71180216471356,150.65784561939728
11,485.42304205744523,334.64083900691577,150.78220323046799,486.7370188786433,338.931142562475,147.80587719648312
12,483.0657415569953,332.6376049833478,150.42813646568442,481.21808174328925,331.652346488757,149.56573564578326
13,480.5570660717082,330.4114116452775,150.1456545823775,480.51790325458234,332.44949125632263,148.06841317201273
14,478.57021362976457,328.7023495608156,149.8678637810473,475.95909998967096,326.38953693096454,149.56956354777017
15,476.5190497344395,326.87549099232416,149.64355882608666,475.6049344967573,325.9658932808118,149.6390416071965
16,475.12078998973533,325.57851959324483,149.54227060042086,472.9839358207507,323.7865475385617,149.1973880865635
17,473.5115920012852,324.1864955830124,149.3250964422646,471.1322222978641,321.3840709588467,149.74815026307718
18,471.92674267367,322.6924168088901,149.23432605671434,470.9757524148012,323.5586205506936,147.41713372254983
19,470.64760822320136,321.61012124115564,149.0374859983816,471.7333430754833,323.2963614830604,148.4369809077336
20,469.8047059496993,320.81976680635654,148.9849391553387,468.64110076121796,319.3382875491411,149.30281194051108
21,468.6565871568596,319.77811885329913,148.878468855372,466.6446783603766,320.0516427847055,146.59303498879459
22,467.4029451766104,318.67635494208184,148.72658995862278,467.22205861409503,319.8948162763547,147.3272421421149
23,466.374898346715,317.73622011388625,148.638677956923,466.69465109018176,320.3181480994591,146.37650240384616
24,465.5047958661925,316.9334205531474,148.57137525306558,467.3908188648713,320.6747649755233,146.71605467184995
25,464.9287151840498,316.4190458141783,148.50966951382236,463.9389799069136,316.8843786777594,147.05460093571588
26,463.6702831196335,315.24193205923405,148.42835091644864,463.89266576522436,314.9083023071289,148.98436404497195
27,462.86809777313806,314.46572429728957,148.4023738117338,463.17528436122797,314.58214080028046,148.59314405001126
28,462.26149910500965,313.96050377611846,148.3009954008666,464.56299845377606,316.530764848758,148.03223301814154
29,461.4747549572831,313.2341898072441,148.24056501808406,461.45593789907605,313.6378907423753,147.81804715670071
30,460.99629429751224,312.78499797605116,148.2112961415225,461.9398997380183,314.1681999793419,147.77169995430188
