epoch,train_loss,learning_rate,timesteps,inference_steps
1,0.03047042215457959,0.0001,1000,50
2,0.02124882523236687,0.0001,1000,50
3,0.020578370455303092,0.0001,1000,50
4,0.019956661587323943,0.0001,1000,50
5,0.019496897637495802,0.0001,1000,50
6,0.01953156291646535,0.0001,1000,50
7,0.019399699228832213,0.0001,1000,50
8,0.019136489496514718,0.0001,1000,50
9,0.019141904806763643,0.0001,1000,50
10,0.018962714923186814,0.0001,1000,50
11,0.018769428853972474,0.0001,1000,50
12,0.018917693942565525,0.0001,1000,50
13,0.018847502500691893,0.0001,1000,50
14,0.018933836035972453,0.0001,1000,50
15,0.018780754053543316,0.0001,1000,50
16,0.01860654460915558,0.0001,1000,50
17,0.018704307063237693,0.0001,1000,50
18,0.01864905572057611,0.0001,1000,50
19,0.01845644328232695,0.0001,1000,50
20,0.018554733527725034,0.0001,1000,50
21,0.018457361064833706,0.0001,1000,50
22,0.018523692641670204,0.0001,1000,50
23,0.018295284223402555,0.0001,1000,50
24,0.01862029321347973,0.0001,1000,50
25,0.018364096122837435,0.0001,1000,50
26,0.01836700288249627,0.0001,1000,50
27,0.018186041879743438,0.0001,1000,50
28,0.018398255485721954,0.0001,1000,50
29,0.01835487437508839,0.0001,1000,50
30,0.01837773022287303,0.0001,1000,50
