epoch,loss_d,loss_g,d_real,d_fake,instance_noise_std,generator_lr,discriminator_lr,real_label_smooth
1,0.40682766383131314,1.4360522939922489,0.8814635972611835,0.021882108376093147,0.05,0.0002,0.0001,0.9
2,0.7049700391986631,2.006645507201916,0.7602182064618678,0.1393641332996683,0.04827586206896552,0.0002,0.0001,0.9
3,0.8659736247254018,2.271188827971602,0.6846453524147029,0.2128087729325534,0.04655172413793104,0.0002,0.0001,0.9
4,0.8101766671279019,1.2703495423546183,0.6994853613972898,0.1991537184066877,0.04482758620689656,0.0002,0.0001,0.9
5,0.654027391779057,0.6366991661694179,0.7637018584431956,0.1353171947634307,0.04310344827586207,0.0002,0.0001,0.9
6,0.5633696406774874,0.5661650589373429,0.8165995134480362,0.08335195349866541,0.041379310344827586,0.0002,0.0001,0.9
7,0.5149308989406288,0.5274609149580954,0.8389794722316314,0.061265644489731735,0.039655172413793106,0.0002,0.0001,0.9
8,0.501917457177262,0.4965107937106741,0.8432737001211307,0.05635320819712102,0.03793103448275862,0.0002,0.0001,0.9
9,0.5297124008556504,0.5396689778936837,0.8354032928568116,0.0646360896300249,0.03620689655172414,0.0002,0.0001,0.9
10,0.457902229273066,0.45164994591807495,0.8575325078872434,0.042361310346676354,0.034482758620689655,0.0002,0.0001,0.9
11,0.44321286781485114,0.4458347491679653,0.8639167114010742,0.03613574290112281,0.03275862068965517,0.0002,0.0001,0.9
12,0.4363206486876418,0.4298942477378575,0.8655437774073997,0.03437508337749615,0.031034482758620693,0.0002,0.0001,0.9
13,0.413048242978652,0.4269071034940559,0.8728206787232008,0.027294698134222216,0.02931034482758621,0.0002,0.0001,0.9
14,0.4492843958170371,0.49241445528344785,0.8627018783253234,0.037629696273470785,0.027586206896551724,0.0002,0.0001,0.9
15,0.4177383047028098,0.42988457661459145,0.8715525191441401,0.028576485173066712,0.02586206896551724,0.0002,0.0001,0.9
16,0.39872299579069614,0.4175571870091016,0.8778037169287282,0.022189000026034564,0.02413793103448276,0.0002,0.0001,0.9
17,0.4277841632146708,0.4468237691090672,0.8670086729546157,0.03325835767258501,0.02241379310344828,0.0002,0.0001,0.9
18,0.4187013655314757,0.458602466843993,0.8697092852648274,0.030304321596698644,0.020689655172413796,0.0002,0.0001,0.9
19,0.43834557252357925,0.4408250360813411,0.8619447486873725,0.03818130461440658,0.01896551724137931,0.0002,0.0001,0.9
20,0.382072080691718,0.38806171233404535,0.8822907107397855,0.01788077855529273,0.017241379310344827,0.0002,0.0001,0.9
21,0.4769414962744919,0.5281296678878115,0.8438707492559749,0.05591844141574534,0.015517241379310341,0.0002,0.0001,0.9
22,0.4587086618509375,0.49195781659648513,0.8504055142600491,0.0496251162030367,0.013793103448275862,0.0002,0.0001,0.9
23,0.45464612753441913,0.4760782727803141,0.8520806214891603,0.04802354009874952,0.012068965517241383,0.0002,0.0001,0.9
24,0.6558943808922891,0.8120978223489645,0.769326076917081,0.13049620135654227,0.010344827586206896,0.0002,0.0001,0.9
25,0.4981873082561253,1.0413149189376907,0.8338119965914951,0.06612301631434948,0.008620689655172417,0.0002,0.0001,0.9
26,0.6822241897145939,1.0476177249434986,0.7575229044833655,0.14145798996540795,0.006896551724137931,0.0002,0.0001,0.9
27,0.6518382916621202,1.4699556175927118,0.7639737732043119,0.13575779469749713,0.005172413793103445,0.0002,0.0001,0.9
28,0.6040216677776009,2.272547810308395,0.7823350628138902,0.11709711031633246,0.0034482758620689655,0.0002,0.0001,0.9
29,0.5939226447129043,2.855869817297633,0.7920696615717021,0.10750578187197596,0.0017241379310344793,0.0002,0.0001,0.9
30,0.5380786562134767,3.269669249384165,0.8149382674540477,0.08488714698402403,0.0,0.0002,0.0001,0.9
